,Name,Top5,Top_20
2,Viktor Hovland,28.756308928000095,31.466849816849816
1,Jon Rahm,32.68598210140394,30.103152403152407
8,Emiliano Grillo,19.164912682346888,27.597397047397042
0,Bryson DeChambeau,33.579776677570806,26.065179265179268
3,Xander Schauffele,27.662117335279106,25.503463203463205
7,Abraham Ancer,21.229570429570426,22.653746253746256
5,Justin Suh,26.265636446886457,22.142857142857135
10,Will Zalatoris,18.12958981378099,21.094733044733044
13,Tony Finau,16.24947568771098,19.737301587301587
14,Lucas Glover,16.165297896547894,19.26091686091686
17,Max Homa,15.427761699085229,18.902236652236653
19,Patrick Cantlay,14.207658517952632,17.503418803418803
4,Keegan Bradley,26.614475230651696,16.678693528693525
20,Cameron Tringale,13.895291668685628,16.56904761904762
12,Corey Conners,16.466349732139204,15.849655899655898
38,Harris English,6.433723221223222,15.823015873015875
6,Matt Wallace,23.872681485181484,15.543650793650796
11,Sungjae Im,16.6089366515837,15.39898434898435
16,Russell Henley,15.482548007547999,14.654906204906206
9,Stewart Cink,18.371094387638497,13.074098124098125
21,Shane Lowry,13.505982905982904,12.475757575757575
28,Brice Garnett,9.011882561882564,10.94141414141414
22,Talor Gooch,13.015298573115908,10.761538461538462
33,Harold Varner III,7.964289958407606,10.51969696969697
23,Justin Thomas,12.393558361573069,10.251443001443
15,Patrick Reed,15.607526063118165,10.065689865689865
26,Matt Jones,9.91882259896966,9.896825396825399
25,Rory McIlroy,10.117833014079148,8.948484848484847
24,Patton Kizzire,11.007046997120522,8.936796536796537
34,Ryan Moore,7.492657342657343,8.593956043956045
29,Francesco Molinari,8.986363350701586,8.165873015873016
37,Martin Trainer,6.938355394605394,7.515079365079365
31,Carlos Ortiz,8.578018958166016,7.514041514041516
44,Kris Ventura,4.272738664843928,7.166666666666666
27,Aaron Wise,9.332187257187256,6.464718614718615
47,Sepp Straka,3.8350982350982354,6.380952380952381
48,Joseph Bramlett,3.706772394272394,6.2484126984126975
30,Rickie Fowler,8.590274309024307,6.011111111111111
49,Wyndham Clark,3.6936868686868687,6.0
35,Ben Martin,7.3028110778110795,5.92063492063492
18,Brian Harman,15.143567434027958,5.835714285714286
70,Ryan Armour,2.3757638195138195,5.527777777777778
32,Webb Simpson,8.270954045954046,5.3100288600288605
50,Mark Hubbard,3.6868235930735933,5.292207792207792
54,Rafael Campos,3.3952758498811137,5.121428571428572
36,Denny McCarthy,7.129361208966471,4.833333333333333
77,Matthew NeSmith,1.989255189255189,4.638961038961039
39,Byeong Hun An,6.239578803549393,4.515079365079365
51,Doc Redman,3.5666472416472415,4.141269841269841
69,David Hearn,2.382883782883783,4.097619047619047
40,Joaquin Niemann,6.1802614052614055,4.002380952380952
58,Mackenzie Hughes,3.0981102231102233,3.844444444444444
87,James Hahn,1.4472402597402598,3.812698412698413
68,Chase Seiffert,2.4046356421356423,3.783333333333333
82,Bubba Watson,1.7451645576645576,3.6000721500721498
73,Lanto Griffin,2.1443771506271507,3.355555555555555
74,Austin Cook,2.1165279165279163,3.3000000000000003
45,Brandon Hagy,4.112319624819625,3.2
41,Jason Day,5.920315509653744,3.176190476190476
57,Kyle Stanley,3.1048160173160175,3.157142857142857
53,Michael Kim,3.4266233766233762,3.085714285714286
61,Andrew Putnam,2.749114774114774,3.052380952380952
63,Cameron Davis,2.643124236874237,2.955555555555556
55,Kevin Streelman,3.228342490842491,2.888888888888889
60,J.B. Holmes,2.8082702020202017,2.8857142857142852
65,Luke List,2.5793345543345545,2.8151515151515154
62,Sebastián Muñoz,2.6759920634920635,2.8
42,John Huh,5.403160728160729,2.772222222222222
52,Adam Hadwin,3.4514145576645583,2.5833333333333335
111,Scott Piercy,0.7376984126984126,2.557142857142857
43,Joel Dahmen,4.916747835497835,2.5357142857142856
66,Phil Mickelson,2.5737012987012986,2.4880952380952377
79,Zach Johnson,1.9123376623376622,2.4
86,Rob Oppenheim,1.5513278388278389,2.321428571428571
46,Ian Poulter,3.9182928182928176,2.2714285714285714
135,Kyoung-Hoon Lee,0.24166666666666667,2.2
114,Bo Van Pelt,0.6791666666666666,2.107142857142857
72,Patrick Rodgers,2.235732323232323,2.1
92,Adam Long,1.2909090909090908,1.9469696969696966
56,Roger Sloan,3.1728854478854487,1.9047619047619047
100,Adam Schenk,0.9831349206349207,1.764285714285714
64,Sam Ryder,2.592074592074592,1.7015873015873015
90,Jhonattan Vegas,1.333152958152958,1.682051282051282
76,Michael Thompson,2.037734487734488,1.6785714285714282
109,Sean O'Hair,0.7655122655122655,1.6666666666666667
99,Satoshi Kodaira,1.0291666666666668,1.6547619047619047
133,Brian Stuard,0.26515151515151514,1.6388888888888886
88,Russell Knox,1.4018398268398267,1.511111111111111
59,Tommy Fleetwood,2.9177350427350426,1.4666666666666668
96,Grayson Murray,1.190909090909091,1.4047619047619047
67,Bronson Burgoon,2.5399214820267453,1.3904761904761904
103,J.J. Spaun,0.890079365079365,1.3714285714285714
91,Bo Hoag,1.3127705627705628,1.3
85,Maverick McNealy,1.5951232247284879,1.2
115,Michael Gligic,0.6615609536662167,1.2
112,J.T. Poston,0.7291666666666666,0.9801587301587301
104,Brendan Steele,0.8755952380952382,0.9000000000000001
97,Danny Lee,1.1666666666666665,0.8
102,Richy Werenski,0.8979853479853479,0.8
106,Chesson Hadley,0.8653846153846154,0.8
93,C.T. Pan,1.281024531024531,0.75
89,Cameron Percy,1.3456947872389047,0.6857142857142857
95,Rory Sabbatini,1.226190476190476,0.6666666666666666
71,Robert Streb,2.311933899433899,0.6666666666666666
122,Keith Mitchell,0.4694444444444444,0.6666666666666666
134,Nick Taylor,0.25,0.6666666666666666
81,Ryan Brehm,1.8163059163059163,0.6666666666666666
94,Jamie Lovemark,1.253787878787879,0.6190476190476191
121,Tyler Duncan,0.48571428571428565,0.5714285714285714
105,Hunter Mahan,0.8729603729603731,0.5714285714285714
101,Henrik Norlander,0.9166666666666665,0.5
83,Nate Lashley,1.743939393939394,0.4
80,Vaughn Taylor,1.8192460317460322,0.4
119,Peter Malnati,0.5181818181818182,0.4
113,Erik van Rooyen,0.6801282051282052,0.4
118,Hank Lebioda,0.5488636363636364,0.3333333333333333
129,Chez Reavie,0.3214285714285714,0.3333333333333333
130,D.J. Trahan,0.3055555555555556,0.2857142857142857
127,Tyler McCumber,0.375,0.25
98,Kramer Hickok,1.12725468975469,0.16666666666666666
139,Rafa Cabrera Bello,0.09722222222222221,0.16666666666666666
143,Kevin Tway,0.0,0.0
138,Pat Perez,0.1,0.0
137,Scott Brown,0.17857142857142858,0.0
136,Sebastian Cappelen,0.18181818181818182,0.0
142,Sung Kang,0.0,0.0
140,Xinjun Zhang,0.05,0.0
141,Harry Higgs,0.0,0.0
132,Gary Woodland,0.2708333333333333,0.0
131,Kelly Kraft,0.2875,0.0
78,Scott Stallings,1.9215139027639025,0.0
128,Beau Hossler,0.3333333333333333,0.0
126,Robby Shelton,0.3928571428571429,0.0
125,Jimmy Walker,0.39583333333333326,0.0
124,Bill Haas,0.4444444444444444,0.0
123,Charl Schwartzel,0.46527777777777785,0.0
120,Troy Merritt,0.5,0.0
117,Tom Lewis,0.5666666666666667,0.0
116,Jason Dufner,0.5965686274509804,0.0
110,Scott Harrington,0.7474747474747475,0.0
108,K.J. Choi,0.7847402597402597,0.0
107,Tom Hoge,0.8499999999999999,0.0
84,Vincent Whaley,1.6698879551820727,0.0
75,Will Gordon,2.0746031746031743,0.0
144,Luke Donald,0.0,0.0
